  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 13.72  5475.27   5475.27 102515096     0.05     0.18  REXML::Element#root
  9.34  9202.72   3727.45 51529274     0.07     4.81  Array#each
  8.13 12448.11   3245.39 29509459     0.11     1.73  REXML::Element#namespace
  6.50 15042.38   2594.27 29865877     0.09     0.41  REXML::Attributes#get_attribute
  4.20 16717.78   1675.40 275872867     0.01     0.01  Kernel.kind_of?
  4.14 18370.02   1652.24  4738507     0.35     8.91  REXML::XPathParser#expr
  3.11 19610.97   1240.95  3648604     0.34     0.81  REXML::Parsers::BaseParser#pull_event
  2.83 20739.73   1128.76 187798109     0.01     0.01  Kernel.nil?
  2.80 21856.26   1116.53 29775619     0.04     0.46  REXML::Attributes#[]
  2.05 22673.55    817.29 41571341     0.02     0.04  Kernel.clone
  1.86 23415.24    741.69 15188250     0.05     0.77  Array#dclone
  1.85 24154.69    739.45 41571341     0.02     0.02  Kernel.initialize_clone
  1.75 24853.40    698.71  2991079     0.23     6.38  Array#delete_if
  1.66 25514.50    661.10 26765004     0.02     0.29  REXML::Element#document
  1.40 26073.16    558.66 90552334     0.01     0.01  String#==
  1.35 26613.50    540.34  2282363     0.24    43.67  Array#each_index
  1.32 27141.51    528.01 26403971     0.02     0.09  REXML::Document#doctype
  1.32 27667.90    526.39 26376357     0.02     0.06  Object#dclone
  1.26 28171.06    503.16 82236927     0.01     0.01  Array#<<
  1.24 28667.32    496.26 27006882     0.02     0.07  Enumerable.find
  1.15 29127.62    460.30 75802974     0.01     0.01  NilClass#nil?
  0.88 29477.15    349.53 37041227     0.01     0.01  String#=~
  0.83 29809.30    332.15    26701    12.44   221.03  REXML::Parsers::TreeParser#parse
  0.78 30120.21    310.91 14026202     0.02     3.28  Class#new
  0.77 30428.11    307.90  6507149     0.05     2.39  REXML::XPathParser#get_namespace
  0.75 30725.86    297.75 37654722     0.01     0.01  Symbol#dclone
  0.70 31005.36    279.50 41081650     0.01     0.01  Array#length
  0.67 31274.00    268.64   340564     0.79     0.79  SQLite3::Statement#initialize
  0.67 31541.10    267.10 39221063     0.01     0.01  String#[]
  0.61 31782.62    241.52 13325944     0.02     0.02  BasicObject#!=
  0.59 32016.63    234.01 38997764     0.01     0.01  Fixnum#==
  0.59 32250.38    233.75 38560428     0.01     0.01  Symbol#==
  0.58 32480.22    229.84 32062720     0.01     0.01  Fixnum#>
  0.49 32677.60    197.38   791281     0.25     1.06  REXML::Parsers::XPathParser#RelativeLocationPath
  0.48 32868.34    190.74  3701955     0.05     0.07  REXML::IOSource#match
  0.47 33056.76    188.42  9316463     0.02     0.04  Kernel.dup
  0.46 33242.10    185.34 30384893     0.01     0.01  Hash#fetch
  0.45 33419.70    177.60 10127650     0.02     0.02  Kernel.initialize_dup
  0.41 33584.16    164.46 28139775     0.01     0.01  String#initialize_copy
  0.40 33744.90    160.74  2683978     0.06     0.32  REXML::Elements#add
  0.39 33902.31    157.41 20357277     0.01     0.01  REXML::Element#node_type
  0.37 34051.00    148.69  7450012     0.02     0.06  REXML::Parent#to_a
  0.36 34193.13    142.13  3648553     0.04     0.07  REXML::IOSource#empty?
  0.33 34323.91    130.78 22819236     0.01     0.01  Array#initialize_copy
  0.32 34452.60    128.69 19549500     0.01     0.01  Array#shift
  0.32 34580.13    127.53 21176771     0.01     0.01  Array#size
  0.32 34706.62    126.49  3648604     0.03     0.88  REXML::Parsers::BaseParser#pull
  0.28 34819.91    113.29 18925467     0.01     0.01  Array#clear
  0.28 34930.34    110.43   875325     0.13     0.19  REXML::Parsers::XPathParser#NodeTest
  0.27 35039.45    109.11  1368690     0.08     0.39  REXML::Element#initialize
  0.27 35147.14    107.69    52917     2.04     3.08  REXML::Parsers::XPathParser#get_group
  0.27 35253.11    105.97  2683927     0.04     0.07  REXML::IOSource#readline
  0.25 35353.54    100.43   844198     0.12     2.23  REXML::Parsers::XPathParser#AdditiveExpr
  0.25 35453.60    100.06   844198     0.12     1.66  REXML::Parsers::XPathParser#UnionExpr
  0.25 35553.08     99.48   844198     0.12     1.84  REXML::Parsers::XPathParser#UnaryExpr
  0.25 35651.90     98.82   844198     0.12     2.43  REXML::Parsers::XPathParser#RelationalExpr
  0.25 35750.70     98.80   844198     0.12     2.03  REXML::Parsers::XPathParser#MultiplicativeExpr
  0.24 35846.73     96.03   791281     0.12     2.80  REXML::Parsers::XPathParser#EqualityExpr
  0.24 35941.98     95.25   911224     0.10     0.25  REXML::Text#initialize
  0.24 36036.20     94.22 10835645     0.01     0.01  MatchData#[]
  0.23 36129.50     93.30   654804     0.14    20.33  REXML::XPath#first
  0.23 36222.79     93.29   791281     0.12     3.19  REXML::Parsers::XPathParser#OrExpr
  0.23 36314.21     91.42  2683927     0.03     0.11  REXML::IOSource#read
  0.23 36405.61     91.40   791281     0.12     2.99  REXML::Parsers::XPathParser#AndExpr
  0.23 36496.99     91.38 14885869     0.01     0.01  Array#[]
  0.22 36586.72     89.73  2683978     0.03     0.06  Set#initialize
  0.21 36670.49     83.77   844198     0.10     1.46  REXML::Parsers::XPathParser#PathExpr
  0.20 36751.55     81.06  2341412     0.03     0.07  REXML::Text#check
  0.20 36832.31     80.76  2253213     0.04     0.36  REXML::Parent#add
  0.19 36909.32     77.01 14137790     0.01     0.01  BasicObject#!
  0.19 36985.91     76.59   791281     0.10     1.19  REXML::Parsers::XPathParser#LocationPath
  0.19 37062.28     76.37  3648605     0.02     0.03  Kernel.tap
