Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
 30.99      2.297     2.257     0.000     0.040        5   SQLite3::Statement#step
  3.16      0.230     0.230     0.000     0.000        1   SQLite3::Database#initialize
  2.06      0.150     0.150     0.000     0.000        5   SQLite3::Statement#initialize
  2.01      4.581     0.147     0.000     4.434      291  *Kernel#gem_original_require
  0.93      0.142     0.067     0.000     0.074        1   <Class::Pry>#fix_coderay_colors
  0.54      0.040     0.040     0.000     0.000        5   SQLite3::Database#encoding
  0.51      0.037     0.037     0.000     0.000     1280   String#%
  0.40      0.029     0.029     0.000     0.000        1   Kernel#system
  0.36      0.026     0.026     0.000     0.000        5   <Class::Dir>#[]
  0.35      0.026     0.026     0.000     0.000        7   Array#pack
  0.31      0.022     0.022     0.000     0.000        1   Fixnum#<<
  0.31      4.604     0.022     0.000     4.582        4  *Kernel#require_relative
  0.28      0.021     0.021     0.000     0.000        2   String#sub
  0.18      0.036     0.013     0.000     0.023       31   Kernel#eval
  0.17      0.017     0.013     0.000     0.004      533   <Class::Pry::Command>#command_regex
  0.12      0.009     0.009     0.000     0.000       43   String#scan
  0.04      0.004     0.003     0.000     0.001       39   Module#module_eval
  0.03      0.002     0.002     0.000     0.000       20   Regexp#initialize
  0.03      0.002     0.002     0.000     0.000      396   IO#set_encoding
  0.02      0.002     0.002     0.000     0.000     4172   Module#method_added
  0.02      0.040     0.002     0.000     0.039        2   Integer#times
  0.02      0.001     0.001     0.000     0.000      182   String#=~
  0.02      0.001     0.001     0.000     0.000     2910   Module#===
  0.02      0.003     0.001     0.000     0.001     1066   <Class::Pry::Command>#convert_to_regex
  0.02      0.001     0.001     0.000     0.000     1522   Hash#[]=
  0.02      0.001     0.001     0.000     0.000      380   <Class::File>#file?
  0.02      0.001     0.001     0.000     0.000      190   Module#attr_accessor
  0.02      0.001     0.001     0.000     0.000      622   Regexp#=~
  0.01      0.001     0.001     0.000     0.000      760   <Class::Pry::Command>#match
  0.01      0.001     0.001     0.000     0.000      291   <Module::Gem>#unresolved_deps
  0.01      0.910     0.001     0.000     0.909      374  *Array#each
  0.01      0.002     0.001     0.000     0.001      651   <Class::Pry::Command>#command_options
  0.01      0.001     0.001     0.000     0.000     1009   <Class::Regexp>#escape
  0.01      0.001     0.001     0.000     0.000      310   Module#define_method
  0.01      0.022     0.001     0.000     0.022       20   Gem::Specification#initialize
  0.01      0.018     0.001     0.000     0.017      521   <Class::Pry::Command>#matches?
  0.01      0.001     0.001     0.000     0.000       20   <Class::IO>#read
  0.01      0.001     0.001     0.000     0.000      122   Module#attr_reader
  0.01      0.001     0.001     0.000     0.000      580   Kernel#instance_variable_set
  0.01      0.019     0.001     0.000     0.018       13   Array#select
  0.01      0.001     0.001     0.000     0.000     1056   Kernel#===
  0.01      0.001     0.001     0.000     0.000      748   Symbol#to_s
  0.01      0.001     0.001     0.000     0.000     1280   Integer#chr
  0.01      0.429     0.000     0.000     0.429      447  *Class#new
  0.01      0.026     0.000     0.000     0.026       44   Array#map
  0.01      0.000     0.000     0.000     0.000      836   BasicObject#singleton_method_added
  0.01      0.015     0.000     0.000     0.015      603  *Hash#[]
  0.01      0.001     0.000     0.000     0.000       68   <Class::Pry::Command>#default_options
  0.01      0.001     0.000     0.000     0.001      375   Kernel#dup
  0.01      0.000     0.000     0.000     0.000     1058   BasicObject#==
  0.01      0.000     0.000     0.000     0.000        6   Kernel#raise
  0.00      0.000     0.000     0.000     0.000      168   Array#flatten
  0.00      0.002     0.000     0.000     0.002      148   Gem::Version#initialize
  0.00      0.000     0.000     0.000     0.000      380   Gem::Specification#default_value
  0.00      0.000     0.000     0.000     0.000      395   Class#inherited
  0.00      0.002     0.000     0.000     0.001       88   <Class::Gem::Requirement>#parse
  0.00      0.000     0.000     0.000     0.000       20   <Class::Time>#utc
  0.00      0.002     0.000     0.000     0.001       46   <Class::Pry::ClassCommand>#inherited
  0.00      0.000     0.000     0.000     0.000      723   Kernel#respond_to_missing?
  0.00      0.000     0.000     0.000     0.000      404   <Class::BasicObject>#allocate
